plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
HR 8799 b,07:28.7,346.869659,+21:08:03.3,21.1342506,12.57,0.18,0,1.39E+01,1.71E-01,0,1.18E+01,1.24E-01,0,1.04E+01,1.15E-01,0,1.73,0.005,-0.005,0,68.2,1,-1,0,,,,,,,,,39.4,1,-1,0,Keck:II,NIRC2,"2004-07-14, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.93E+01,1.69E-01,0,17.85,0.18,0,1.70E+01,1.23E-01,0,1.56E+01,1.14E-01,0,A5V,1.5,0.3,-0.3,0,60,100,-30,0,4.9,0,0,0,7,4.00E+00,-2.00E+00,0,L,870,30,-70,0,1.20E+00,1.00E-01,-1.00E-01,0,Baraffe et al. (2003),1,
HR 8799 c,07:28.7,346.869659,+21:08:03.3,21.1342506,11.63,0.18,0,1.23E+01,2.00E-01,0,1.09E+01,9.90E-02,0,9.50E+00,1.08E-01,0,0.95,0.005,0.005,0,37.4,1,-1,0,,,,,,,,,39.4,1,-1,0,Keck:II,NIRC2,"2004-07-14, 2007-10-17, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.76E+01,1.98E-01,0,16.91,0.18,0,1.61E+01,9.70E-02,0,1.47E+01,1.06E-01,0,A5V,1.5,0.3,-0.3,0,60,100,-30,0,4.9,0,0,0,10,3.00E+00,-3.00E+00,0,L,1090,10,-90,0,1.20E+00,1.00E-01,-1.00E-01,0,Baraffe et al. (2003),1,
HR 8799 d,07:28.7,346.869659,+21:08:03.3,21.1342506,11.56,0.23,0,1.29E+01,4.34E-01,0,1.09E+01,1.33E-01,0,9.32E+00,1.70E-01,0,0.63,0.005,-0.005,0,24.8,1,-1,0,,,,,,,,,39.4,1,-1,0,Keck:II,NIRC2,"2007-10-17, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.82E+01,4.33E-01,0,16.84,0.23,0,1.61E+01,1.32E-01,0,1.45E+01,1.69E-01,0,A5V,1.5,0.3,-0.3,0,60,100,-30,0,4.9,0,0,0,10,3.00E+00,-3.00E+00,0,L,1090,10,-90,0,1.20E+00,1.00E-01,-1.00E-01,0,,1,
HR 8799 e,07:28.7,346.869659,+21:08:03.3,21.1342506,,,,,,,1.07E+01,2.20E-01,0,9.37E+00,1.20E-01,0,,,,,14.5,0.4,-0.4,0,,,,,242,1,1,0,39.4,1,-1,0,Keck:II,NIRC2,11/1/2009,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,,,,,5.24,,0,5.22,,0,,,,,,,1.59E+01,2.27E-01,0,1.46E+01,1.32E-01,0,A5V,1.5,0.3,-0.3,0,60,100,-30,0,4.9,0,0,0,10,3.00E+00,-3.00E+00,0,,,,,,,,,,,1,Delta K mag and planet K mag is Ks.
HR 2562 b,50:01.0,102.504227,-60:14:56.9,-60.2491455,11.7,0.1,0,,,,,,,,,,0.619,0.003,-0.003,0,20.3,0.3,-0.3,0,,,,,297.6,0.3,-0.3,0,33.6,0.5,-0.5,0,Gemini:South,GPI,1/25/2016,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,,,,,,,,,,,,16.83,0.1,0,,,,,,,F5V,1.3,,,0,600,300,-300,0,,,,,30,1.50E+01,-1.50E+01,0,L7,1200,100,-100,0,1.11E+00,1.10E-01,-1.10E-01,0,Saumon & Marley (2008),1,
HIP 78530 b,01:55.5,240.481064,-21:58:49.4,-21.9803886,7.44,0.05,0,8.13E+00,5.00E-02,0,7.27E+00,5.00E-02,0,,,,4.533,0.006,-0.006,0,710,60,-60,0,,,,,140.3,0.1,-0.1,0,156.7,,,0,Gemini:Gillett,NIRI,7/2/2009,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,6.93,0.021,0,6.95,0.029,0,6.9,0.02,0,,,,1.51E+01,5.00E-02,0,14.39,0.04,0,1.42E+01,4.00E-02,0,,,,B9V,2.5,,,0,5,1,-1,0,,,,,24,2.50E+00,-2.50E+00,0,,,,,,,,,,Chabrier et al. 2000,1,
HD 95086 b,57:03.0,164.262589,-68:40:02.4,-68.6673431,,,,,,,,,,9.79E+00,4.00E-01,0,0.624,0.007,-0.007,0,56.4,0.7,-0.7,0,,,,,151.8,0.8,-0.8,0,90.4,3.4,-3.4,0,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.075282,,,,,,,6.79,0.02,0,6.7,0.04,0,,,,,,,1.77E+01,,-1,1.65E+01,5.00E-01,0,A8 III,1.6,,,0,17,2,-2,0,,,,,5,1.00E+00,-1.00E+00,0,,1000,200,-200,0,,,,,"COND, Baraffe et al. (2003)",1,
HD 106906 b,17:53.2,184.471634,-55:58:31.9,-55.9755249,,,,1.07E+01,3.00E-01,0,8.78E+00,6.00E-02,0,7.94E+00,5.00E-02,0,7.11,0.03,-0.03,0,654.1,6,-6,0,,,,,307.3,0.2,-0.2,0,92,6,-6,0,Magellan:Clay,MagAO/Clio2,2013-04-04 2013-04-12,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,0.03,0,6.68,0.05,0,6.68,0.03,0,6.7,0.1,0,1.76E+01,3.00E-01,0,,,,1.55E+01,6.00E-02,0,1.46E+01,1.00E-01,0,F5V,1.5,0.1,-0.1,0,13,2,-2,0,,,,,11,2.00E+00,-2.00E+00,0,L2.5 &plusmn; 1,1800,100,-100,0,,,,,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",1,The imhmag is in H2-band.
GJ 504 b,16:46.5,199.193817,+09:25:27.0,9.42415619,16.28,0.14,0,1.58E+01,1.50E-01,0,1.54E+01,2.80E-01,0,1.29E+01,2.10E-01,0,2.499,0.026,-0.026,0,43.9,0.1,-0.1,0,,,,,326.1,0.6,-0.6,0,17.6,0.1,-0.1,0,Subaru,"IRCS, HiCIAO","2011-03-26, 2011-05-22, 2011-08-12, 2011-08-15, 2012-02-28, 2012-04-12, 2012-05-25",,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,,0,3.86,,0,3.81,,0,3.94,0.09,0,1.99E+01,1.50E-01,0,20.14,0.14,0,1.92E+01,2.80E-01,0,1.68E+01,1.90E-01,0,G0V,1.22,0.08,-0.08,0,160,70,-60,0,0.3,0,0,0,4,4.50E+00,-1.00E+00,0,T/Y,510,30,-20,0,,,,,"COND, Baraffe et al. 2003",1,
2MASS J12073346-3932539 b,07:33.5,181.889447,-39:32:54.0,-39.548332,5.7,0.21,0,5.50E+00,,-1,4.98E+00,1.14E-01,0,3.90E+00,1.72E-01,0,0.778,,,0,55,,,0,,,,,125.8,,,0,70,,,0,VLT:Yepun,NACO,4/27/2004,,<a href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref>Chauvin et al. 2004</a>,1,0,0,1,293.79036,22.5432974,13,0.03,0,12.39,0.03,0,11.95,0.03,0,11.38,0.1,0,1.85E+01,,-1,18.09,0.21,0,1.69E+01,1.10E-01,0,1.53E+01,1.40E-01,0,M8.5,,,,,8,2,-2,0,,,,,5,2.00E+00,-2.00E+00,0,L5-L9.5,1250,200,-200,0,,,,,"DUSTY, Chabrier et al. (2000), COND, Baraffe et al. (2002)",1,
2MASS J21402931+1625183 A b,40:29.3,325.122159,25:18.3,16.421759,0.93,1.24,0,9.50E-01,1.24E+00,0,7.40E-01,1.23E+00,0,,,,,,,,,,,,,,,,,,,,25,10,-10,0,,,,,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref>Konopacky et al. 2010</a>,0,0,0,1,70.4851,-26.437255,13.32,1.23,0,12.66,1.23,0,12.27,1.23,0,,,,1.43E+01,1.24E+00,0,13.58,1.24,0,1.30E+01,1.23E+00,0,,,,,0.06,0.04,-0.04,0,,,,,0,0,0,0,73,3.10E+01,-4.20E+01,0,M8.5+L2,2075,70,-70,0,9.20E-01,3.90E-01,-3.60E-01,0,"DUSTY, Chabrier et al. 2000",1,
AB Pic b,19:12.9,94.8038025,-58:03:15.5,-58.0543098,8.18,,0,8.59E+00,,0,7.59E+00,,0,,,,,,,,,,,,,,,,,,,,47.3,1.8,-1.7,0,VLT:Yepun,NACO,"2003-03-17, 2004-03-05, 2004-09-25",Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref>Chauvin et al. 2005</a>,0,1,0,1,266.94371,-26.9307986,7.58,0.03,0,7.09,0.03,0,6.98,0.03,0,,,,1.62E+01,,0,15.27,,0,1.46E+01,,0,,,,,,,,,30,,,0,,,,,13,,,0,"L1(+2,-1)",1513,,,0,,,,,Burrows et al (1997),1,
bet Pic b,47:17.1,86.8211975,-51:03:59.4,-51.0665131,7.7,0.3,0,,,,,,,,,,0.411,0.008,-0.008,0,7.9,0.2,0.2,0,,,,,,,,,19.2,0.2,-0.2,0,VLT:Yepun,NACO,11/10/2003,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2009A&A...493L..21L/abstract target=ref>Lagrange et al. 2009</a>,1,0,0,1,258.36388,-30.6116321,,,,,,,,,,3.5,,0,,,,11.2,0.3,0,,,,,,,A5V,1.8,,,0,12,8,-4,0,,,,,8,4.00E+00,-2.00E+00,0,,1400,,,0,,,,,"DUSTY, Chabrier et al. (2000)",1,
CFBDSIR J145829+101343 b,58:29.0,224.620833,+10:13:43.0,10.2286111,2.33,0.19,0,1.80E+00,3.50E-01,0,2.20E+00,3.80E-01,0,,,,0.108,0.006,-0.006,0,2.6,0.3,-0.3,0,,,,,308,2,-2,0,23.1,2.4,-2.4,0,Keck:II,NIRC2,7/8/2010,,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref>Liu et al. 2011</a>,0,0,0,1,9.59419,55.6550909,19.86,0.07,0,20.18,0.1,0,20.63,0.24,0,,,,2.17E+01,3.40E-01,0,22.51,0.16,0,2.28E+01,3.00E-01,0,,,,T9.5,0.01,0,0,0,1000,,,0,0,0,0,0,7,1.50E+00,-1.50E+00,0,T10,350,40,-40,0,,,,,"TUCSON, Burrows et al. 1997",1,Model does not correspond with date observed. Model does correspond with the stellar age.
CHXR 73 b,06:28.8,166.619893,-77:37:33.2,-77.625877,5.2,,0,5.20E+00,,0,4.70E+00,,0,,,,1.3,0.03,-0.03,0,210,,,0,,,,,234.9,1,-1,0,161.5,0,0,0,Magellan:Clay,PANIC,4/30/2005,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref>Luhman et al. 2006</a>,0,0,0,1,297.27772,-15.9216421,12.7,0.3,0,11.3,0.3,0,10.8,0.25,0,,,,1.79E+01,3.00E-01,0,16.5,0.3,0,1.55E+01,2.50E-01,0,,,,M3.5,0.35,,,0,2,,,0,,,,,13,8.40E+00,-5.20E+00,0,M9.5,,,,,,,,,"Chabrier et al. (2000), Burrows et al. (1997)",1,
CT Cha b,04:09.1,166.037877,-76:27:19.4,-76.455383,,,,,,,6.29E+00,3.00E-01,0,,,,2.67,0.036,-0.036,0,440,,,0,,,,,300.7,1.2,-1.2,0,165,30,-30,0,VLT:Yepun,NACO,2/17/2006,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref>Schmidt et al. 2008</a>,0,0,0,1,296.6537,-14.9091413,9.71,0.024,0,,,,8.66,0.02,0,,,,,,,,,,1.50E+01,3.00E-01,0,,,,K7,0.7,,,0,2,2,-2,0,,,,,17,6.00E+00,-6.00E+00,0,M8-L0,2600,250,-250,0,2.20E+00,8.10E-01,-6.00E-01,0,"DUSTY-Phoenix, Brott & Hauschild 2005, UCM, Tsuji 2005",1,"multiple mass estimates are listed in paper, but the author commits to the value given."
DH Tau b,29:41.6,67.423158,+26:32:58.3,26.54952,6.14,0.05,0,5.94E+00,5.00E-02,0,6.01E+00,4.00E-02,0,,,,2.3,,,0,330,,,0,,,,,,,,,140,15,-15,0,VLT:Melipal,SINFONI,"2007-10-22, 2007-12-18",Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2012A&A...540A..85P/abstract target=ref>Patience et al. 2012</a>,0,0,1,1,171.89951,-14.9387211,9.77,0.02,0,8.82,0.03,0,8.18,0.03,0,,,,1.57E+01,5.00E-02,0,14.96,0.04,0,1.42E+01,2.00E-02,0,,,,M0.5,0.33,,,0,2,1,-1,0,,,,,11,1.00E+01,-3.00E+00,0,L2,2700,,,0,2.70E-01,7.00E-02,-7.00E-02,0,"Allard et al. (2000), Itoh et al. (2005)",1,
FU Tau b,23:35.7,65.898908,+25:02:59.6,25.049898,,,,,,,,,,,,,5.72,0.1,-0.1,0,800.8,0.1,-0.1,0,,,,,123.2,1,-1,0,140,,,0,UKIRT,,12/31/2005,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2009ApJ...691.1265L/abstract target=ref>Luhman et al. 2009</a>,1,0,0,2,172.11559,-16.9607887,,,,,,,,,,,,,,,,,,,1.33E+01,2.00E-02,0,,,,,,,,,,,,,,,,,16,,,0,M9.25,2375,,,0,,,,,Luhman et al. (2003),1,
GU Psc b,12:35.1,18.146006,+17:03:55.6,17.065475,8.1,0.04,0,7.09E+00,4.00E-02,0,8.06E+00,4.00E-02,0,,,,41.97,0.03,-0.03,0,2000,200,-200,0,,,,,,,,,48,5,-5,0,CFHT,WIRCam,"2011-10-10, 2011-12-26, 2011-12-28, 2011-12,29, 2012-09-07",AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref>Naud et al. 2014</a>,0,0,0,1,130.15233,-45.509583,10.21,0.022,0,9.6,0.022,0,9.35,0.02,0,,,,1.81E+01,3.00E-02,0,17.7,0.03,0,1.74E+01,3.00E-02,0,,,,M3,,,,,100,30,-30,0,,,,,11,6.00E-01,-6.00E-01,0,T3.5,1050,50,-50,0,1.36E+00,2.50E-02,2.50E-02,0,"cloudy, Saumon and Marley (2008)",1,
VHS J125601.92-125723.9 b,56:02.2,194.008964,-12:57:21.7,-12.956031,,,,,,,,,,,,,8.06,0.03,-0.03,0,102,9,-9,0,,,,,218.1,0.2,-0.2,0,12.7,1,-1,0,ESO:VISTA,VIRCAM,7/1/2011,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...96G/abstract target=ref>Gauza et al. 2015</a>,0,0,0,1,304.67118,49.9002002,11.36,,1,11.02,,1,10.42,,1,,,,1.71E+01,2.00E-02,0,15.78,0.01,0,1.47E+01,1.00E-02,0,,,,M7.5,0.07,0.02,-0.01,0,225,75,-75,0,,,,,11,9.70E+00,-1.80E+00,0,L7,880,140,-110,0,,,,,"this work, Gagne et al. (2014), Chauvin et al. (2005), McLean et al. (2003), Liu et al. (2013)",1,
WD 0806-661 b,06:53.7,121.723902,-66:18:16.7,-66.3046498,,,,,,,,,,,,,130.2,0.2,-0.2,0,,,,,,,,,104.2,0.2,-0.2,0,19.2,0.6,-0.6,0,Spitzer,IRAC,"2004-12-15, 2009-08-24",,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730L...9L/abstract target=ref>Luhman et al. 2011</a>,0,0,0,1,279.42255,-17.5715768,,,,,,,,,,,,,,,,,,,,,,,,,DQ,0.62,0.03,-0.03,0,1500,500,-300,0,,,,,7,,,0,,300,,,0,,,,,"Burrows et al. (1997), Burrows et al. (2003)",1,Spitzer data were collected in 4.5 microns.
WISEP J121756.91+162640.2 A b,17:56.9,184.487125,+16:26:40.2,16.4445,2.2,0.04,0,2.10E+00,2.00E-02,0,2.16E+00,1.30E-01,0,,,,0.757,0.003,-0.003,0,8,1.3,-1.3,0,,,,,,,,,10.5,1.7,-1.7,0,Keck:II,NIRC2,1/29/2012,,<a href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...57L/abstract target=ref>Liu et al. 2012</a>,0,0,0,1,265.23847,76.7973725,17.98,0.02,0,18.31,0.05,0,18.94,0.04,0,,,,2.01E+01,3.00E-02,0,20.51,0.06,0,2.11E+01,1.20E-01,0,,,,T9,0.03,0,0,0,5000,,,0,,,,,20,2.00E+00,-2.00E+00,0,Y0,470,30,-30,0,,,,,Lyon/COND models and M(J),1,"Different angular separations and position angles are listed for each filter, for data obtained on the same night. The H-band separation and position angles are shown here."
LkCa 15 b,39:17.8,69.824148,+22:21:03.4,22.350967,,,,,,,,,,5.40E+00,4.90E+00,0,0.106,0.081,-0.019,0,14.7,2.1,-2.1,0,,,,,260,21,-16,0,,,,,LBT,NRM,12/15/2014,,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.6897,-15.9816355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
LkCa 15 c,39:17.8,69.824148,+22:21:03.4,22.350967,,,,,,,,,,4.80E+00,4.30E+00,0,0.068,0.037,-0.043,0,18.6,2.5,-2.7,0,,,,,316,16,-21,0,,,,,LBT,NRM,"2015-02-05, 2015-02-06, 2015-02-07",,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.6897,-15.9816355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate."
2MASS J02192210-3925225 b,19:22.1,34.842106,-39:25:22.5,-39.422928,3.77,0.1,0,4.22E+00,1.03E-01,0,3.38E+00,1.03E-01,0,,,,3.96,0.02,-0.02,0,156,10,-10,0,,,,,173.9,0.2,-0.2,0,39.4,2.6,-2.6,0,CTIO:1.5m,SIMON,11/5/2013,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,0,0,0,1,252.45377,-67.9844531,11.32,0.026,0,10.86,0.027,0,10.44,0.03,0,,,,1.55E+01,1.00E-01,0,14.63,0.1,0,1.38E+01,1.00E-01,0,,,,M6,0.36,0.04,-0.04,0,120,10,-10,0,0,0,0,0,14,1.10E+00,-1.10E+00,0,L4,,,,,,,,,"BT-Settl, Allard et al. 2014",1,
TYC 8998-760-1 b,25:12.1,201.300542,-64:56:20.69,-64.9390806,,,,,,,,,,,,,1.71,,,0,162,,,0,,,,,,,,,94.6,0.3,-0.3,0,"VLT:Antu, VLT:Melipal","NACO, SPHERE","2017-07-05, 2019-03-17, 2019-03-23, 2019-05-18",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,0,0,0,1,306.4997,-2.3014173,,,,,,,,,,,,,,,,,,,,,,,,,K3 IV,1,0.02,-0.02,0,17,1,-1,0,0.5,0,0,0,14,3.00E+00,-3.00E+00,0,L0,1727,172,-127,0,3.00E+00,2.00E-01,-7.00E-01,0,"BT-Settl (Allard et al. 2012), AMES/DUSTY (Allard et al. 2001; Chabrier et al. 2000)",1,"Projected separation star-planet and position angle star-planet are the average across the J, H, Ks, and L' band"
2MASS J01033563-5515561 AB b,03:35.6,15.8984583,-55:15:56.1,-55.2655833,,,,,,,,,,,,,1.784,0.003,-0.003,0,84,,,0,,,,,339.3,0,0,0,47.2,3.1,-3.1,0,VLT:Antu,NACO,11/25/2012,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,0,0,0,2,299.26975,-61.7760661,10.73,0.08,0,10.15,0.08,0,9.81,0.08,0,,,,1.54E+01,3.00E-01,0,14.2,0.2,0,1.36E+01,2.00E-01,0,1.26E+01,1.00E-01,0,M5.5/M6,0.19,0.02,-0.02,0,30,,,0,,,,,13,1.00E+00,-1.00E+00,0,,,,,,,,,,BT-Settl (Allard et al. 2012; Baraffe et al. 2003),1,Companion magnitude measurements derived relative to 2MASS0103A; Ks filter used
